ASN_Number,ASN_description,ASN_Country_Code,IP_Type,ip,IP_range,IP_description,IP_Country
AS3356,"Level 3 Parent, LLC",US,Global,4.55.111.34,4.0.0.0/9,"Level 3 Parent, LLC",US
AS3356,"Level 3 Parent, LLC",US,Global,62.67.23.38,62.67.0.0/16,,GB
AS3356,"Level 3 Parent, LLC",US,Global,195.50.117.33,195.50.64.0/18,LUMEN TECHNOLOGIES UK LIMITED,GB
AS43350,NForce Entertainment B.V.,NL,Global,185.107.56.254,185.107.56.0/22,NForce Entertainment B.V.,NL
AS43350,NForce Entertainment B.V.,NL,Regional,185.107.116.21,185.107.116.0/24,,NL
AS43350,NForce Entertainment B.V.,NL,Regional,185.107.116.22,185.107.116.0/24,,NL
AS4637,Telstra Global,HK,Global,134.159.129.18,134.159.0.0/16,Telstra Global Internet Services Network Blocks,AU
AS4637,Telstra Global,HK,Global,202.84.178.54,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Global,202.84.249.10,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Global,202.84.141.1,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Global,202.84.148.69,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Regional,202.127.69.134,202.127.69.0/24,Telstra Global Internet Services Network /24 Block,JP
AS4637,Telstra Global,HK,Global,202.84.153.38,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Global,202.84.140.50,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Regional,210.57.38.112,210.57.38.0/24,Telstra Global Internet Service,SG
AS4637,Telstra Global,HK,Global,202.84.224.198,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Global,202.84.143.177,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4637,Telstra Global,HK,Global,202.84.173.22,202.84.128.0/17,Telstra Global Internet Services Network Blocks,HK
AS4755,TATA Communications formerly VSNL is Leading ISP,IN,Global,121.244.3.222,121.244.0.0/17,Internet Service Provider,IN
AS4755,TATA Communications formerly VSNL is Leading ISP,IN,Global,115.110.206.73,115.110.128.0/17,Internet Service Provider,IN
AS4775,Globe Telecoms,NL,Global,193.239.118.116,193.239.116.0/22,Broadband Hosting B.V.,NL
AS4775,Globe Telecoms,PH,Global,101.203.88.173,101.203.88.0/22,"BBIX, Inc.",JP
AS4775,Globe Telecoms,PH,Global,101.203.89.164,101.203.88.0/22,"BBIX, Inc.",JP
AS4775,Globe Telecoms,PH,Global,101.203.89.177,101.203.88.0/22,"BBIX, Inc.",JP
AS4775,Globe Telecoms,PH,Global,101.203.89.88,101.203.88.0/22,"BBIX, Inc.",JP
AS4775,Globe Telecoms,PH,Global,193.239.117.16,193.239.116.0/22,Broadband Hosting B.V.,NL
AS54113,"Fastly, Inc.",US,Global,151.101.156.81,151.101.0.0/16,Fastly,US
AS54113,"Fastly, Inc.",US,Global,151.101.208.81,151.101.0.0/16,Fastly,US
AS54113,"Fastly, Inc.",US,Global,151.101.228.81,151.101.0.0/16,Fastly,US
AS54113,"Fastly, Inc.",US,Global,151.101.152.81,151.101.0.0/16,Fastly,US
AS54113,"Fastly, Inc.",NL,Global,151.101.36.81,151.101.0.0/16,Fastly,NL
AS55836,Reliance Jio Infocomm Limited,IN,Global,49.45.4.86,49.45.0.0/16,Reliance Jio Infocomm Limited,IN
AS55836,Reliance Jio Infocomm Limited,IN,Global,115.247.100.29,115.240.0.0/13,Reliance Jio Infocomm Limited,IN
AS55836,Reliance Jio Infocomm Limited,IN,Global,49.44.129.66,49.44.128.0/17,Reliance Jio Infocomm Limited,IN
AS55836,Reliance Jio Infocomm Limited,IN,Global,49.44.220.131,49.44.128.0/17,Reliance Jio Infocomm Limited,IN
AS55836,Reliance Jio Infocomm Limited,IN,Global,49.44.183.1,49.44.128.0/17,Reliance Jio Infocomm Limited,IN
AS55836,Reliance Jio Infocomm Limited,IN,Global,49.44.187.135,49.44.128.0/17,Reliance Jio Infocomm Limited,IN
AS55836,Reliance Jio Infocomm Limited,IN,Global,49.44.187.157,49.44.128.0/17,Reliance Jio Infocomm Limited,IN
AS59193,IIT Hyderabad,IN,Regional,103.232.241.70,103.232.241.0/24,IIT Hyderabad,IN
AS59193,IIT Hyderabad,IN,Regional,103.232.241.2,103.232.241.0/24,IIT Hyderabad,IN
AS59193,IIT Hyderabad,IN,Regional,103.232.241.237,103.232.241.0/24,IIT Hyderabad,IN
AS60068,CDN77,GB,Global,185.229.188.172,185.229.188.0/23,Datacamp Limited,GB
AS60068,CDN77,GB,Global,185.229.188.174,185.229.188.0/23,Datacamp Limited,GB
AS60068,CDN77,GB,Regional,45.134.215.17,45.134.215.0/24,CDN77 int,GB
